group,intensity,exp_index,exp_id,exp_folder,node,component,total_energy_J,avg_power_W
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,leo,cpu,130.68,1.24
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,leo,nic,0.0,0.0
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,leo,ram,42.21,0.31
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,leo,sd,0.02,0.0
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,nitro5,cpu,38.88,0.34
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,nitro5,nic,0.6,0.0
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,nitro5,ram,20.23,0.15
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,nitro5,sd,8.47,0.06
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,scorpius,cpu,58.61,0.57
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,scorpius,nic,0.0,0.0
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,scorpius,ram,65.13,0.48
with-plugin,low,19,with-plugin_low_19,exp(04:19:59)_fase3_low_iter19,scorpius,sd,0.0,0.0
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,aspire,cpu,58.5,0.58
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,aspire,nic,1.03,0.01
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,aspire,ram,32.37,0.24
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,aspire,sd,117.65,0.84
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,leo,cpu,62.36,0.61
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,leo,nic,0.15,0.0
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,leo,ram,18.83,0.14
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,leo,sd,0.0,0.0
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,nitro5,cpu,38.53,0.34
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,nitro5,nic,0.87,0.01
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,nitro5,ram,21.06,0.15
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,nitro5,sd,10.0,0.07
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,scorpius,cpu,163.09,1.74
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,scorpius,nic,0.12,0.0
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,scorpius,ram,203.03,1.52
with-plugin,low,20,with-plugin_low_20,exp(04:26:36)_fase3_low_iter20,scorpius,sd,0.0,0.0
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,aspire,cpu,170.05,1.7
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,aspire,nic,0.26,0.0
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,aspire,ram,158.61,1.17
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,aspire,sd,18.25,0.13
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,leo,cpu,74.97,0.72
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,leo,nic,0.15,0.0
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,leo,ram,23.22,0.17
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,leo,sd,0.0,0.0
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,nitro5,cpu,39.35,0.35
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,nitro5,nic,1.38,0.01
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,nitro5,ram,20.97,0.15
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,nitro5,sd,10.58,0.08
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,scorpius,cpu,68.31,0.67
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,scorpius,nic,1.11,0.01
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,scorpius,ram,77.55,0.57
with-plugin,medium,1,with-plugin_medium_1,exp(04:33:06)_fase3_medium_iter1,scorpius,sd,0.01,0.0
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,aspire,cpu,53.2,0.53
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,aspire,nic,0.27,0.0
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,aspire,ram,31.84,0.24
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,aspire,sd,118.1,0.84
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,leo,cpu,52.65,0.51
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,leo,nic,0.14,0.0
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,leo,ram,14.22,0.11
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,leo,sd,0.0,0.0
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,nitro5,cpu,37.06,0.34
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,nitro5,nic,0.32,0.0
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,nitro5,ram,20.08,0.15
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,nitro5,sd,9.07,0.06
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,scorpius,cpu,134.7,1.42
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,scorpius,nic,0.47,0.0
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,scorpius,ram,153.05,1.14
with-plugin,medium,2,with-plugin_medium_2,exp(04:39:43)_fase3_medium_iter2,scorpius,sd,0.0,0.0
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,aspire,cpu,143.84,1.42
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,aspire,nic,0.29,0.0
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,aspire,ram,137.94,1.03
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,aspire,sd,7.77,0.06
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,leo,cpu,72.24,0.69
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,leo,nic,0.25,0.0
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,leo,ram,20.43,0.15
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,leo,sd,0.0,0.0
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,nitro5,cpu,34.57,0.31
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,nitro5,nic,0.52,0.0
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,nitro5,ram,20.43,0.15
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,nitro5,sd,11.51,0.08
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,scorpius,cpu,88.01,0.85
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,scorpius,nic,0.2,0.0
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,scorpius,ram,109.46,0.81
with-plugin,medium,3,with-plugin_medium_3,exp(04:46:28)_fase3_medium_iter3,scorpius,sd,0.02,0.0
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,aspire,cpu,50.31,0.48
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,aspire,nic,0.21,0.0
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,aspire,ram,34.72,0.26
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,aspire,sd,146.43,1.05
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,leo,cpu,276.42,2.58
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,leo,nic,3.91,0.03
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,leo,ram,89.57,0.66
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,leo,sd,0.0,0.0
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,nitro5,cpu,39.45,0.35
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,nitro5,nic,0.82,0.01
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,nitro5,ram,20.75,0.15
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,nitro5,sd,11.96,0.09
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,scorpius,cpu,97.62,0.98
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,scorpius,nic,0.0,0.0
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,scorpius,ram,111.34,0.82
with-plugin,medium,4,with-plugin_medium_4,exp(04:53:13)_fase3_medium_iter4,scorpius,sd,0.0,0.0
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,aspire,cpu,129.84,1.35
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,aspire,nic,0.33,0.0
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,aspire,ram,128.56,0.96
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,aspire,sd,8.9,0.06
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,leo,cpu,168.29,1.57
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,leo,nic,0.17,0.0
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,leo,ram,57.0,0.42
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,leo,sd,0.06,0.0
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,nitro5,cpu,37.4,0.33
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,nitro5,nic,0.37,0.0
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,nitro5,ram,20.36,0.15
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,nitro5,sd,9.5,0.07
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,scorpius,cpu,57.1,0.57
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,scorpius,nic,0.18,0.0
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,scorpius,ram,64.8,0.48
with-plugin,medium,5,with-plugin_medium_5,exp(04:59:46)_fase3_medium_iter5,scorpius,sd,0.0,0.0
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,aspire,cpu,61.73,0.58
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,aspire,nic,0.24,0.0
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,aspire,ram,35.12,0.26
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,aspire,sd,138.1,0.99
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,leo,cpu,66.67,0.63
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,leo,nic,0.28,0.0
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,leo,ram,20.2,0.15
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,leo,sd,0.0,0.0
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,nitro5,cpu,37.68,0.34
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,nitro5,nic,0.4,0.0
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,nitro5,ram,20.78,0.15
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,nitro5,sd,15.81,0.11
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,scorpius,cpu,129.96,1.33
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,scorpius,nic,0.11,0.0
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,scorpius,ram,148.96,1.1
with-plugin,medium,6,with-plugin_medium_6,exp(05:06:22)_fase3_medium_iter6,scorpius,sd,0.0,0.0
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,aspire,cpu,145.86,1.43
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,aspire,nic,0.52,0.0
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,aspire,ram,144.83,1.08
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,aspire,sd,13.18,0.09
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,leo,cpu,66.31,0.63
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,leo,nic,0.15,0.0
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,leo,ram,20.26,0.15
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,leo,sd,0.0,0.0
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,nitro5,cpu,37.67,0.34
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,nitro5,nic,0.52,0.0
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,nitro5,ram,20.75,0.15
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,nitro5,sd,0.0,0.0
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,scorpius,cpu,66.13,0.67
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,scorpius,nic,0.0,0.0
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,scorpius,ram,81.27,0.6
with-plugin,medium,7,with-plugin_medium_7,exp(05:12:30)_fase3_medium_iter7,scorpius,sd,0.01,0.0
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,aspire,cpu,57.43,0.54
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,aspire,nic,0.27,0.0
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,aspire,ram,40.09,0.3
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,aspire,sd,172.4,1.23
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,leo,cpu,257.19,2.45
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,leo,nic,0.29,0.0
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,leo,ram,88.55,0.66
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,leo,sd,0.0,0.0
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,nitro5,cpu,37.81,0.34
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,nitro5,nic,0.65,0.0
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,nitro5,ram,20.9,0.15
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,nitro5,sd,9.86,0.07
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,scorpius,cpu,92.23,0.92
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,scorpius,nic,0.18,0.0
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,scorpius,ram,0.0,0.0
with-plugin,medium,8,with-plugin_medium_8,exp(05:19:09)_fase3_medium_iter8,scorpius,sd,0.0,0.0
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,aspire,cpu,65.16,0.64
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,aspire,nic,0.17,0.0
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,aspire,ram,51.22,0.38
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,aspire,sd,1.8,0.01
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,leo,cpu,88.48,0.83
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,leo,nic,0.21,0.0
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,leo,ram,23.13,0.17
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,leo,sd,0.0,0.0
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,nitro5,cpu,40.39,0.35
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,nitro5,nic,0.75,0.01
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,nitro5,ram,20.32,0.15
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,nitro5,sd,9.36,0.07
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,scorpius,cpu,39.0,0.37
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,scorpius,nic,0.07,0.0
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,scorpius,ram,41.78,0.31
with-plugin,medium,9,with-plugin_medium_9,exp(05:31:15)_fase3_medium_iter9,scorpius,sd,0.0,0.0
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,aspire,cpu,262.48,3.09
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,aspire,nic,0.18,0.0
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,aspire,ram,333.62,2.45
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,aspire,sd,328.06,2.28
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,leo,cpu,298.73,2.69
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,leo,nic,0.2,0.0
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,leo,ram,91.21,0.65
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,leo,sd,0.0,0.0
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,nitro5,cpu,39.58,0.36
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,nitro5,nic,0.21,0.0
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,nitro5,ram,23.18,0.16
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,nitro5,sd,10.2,0.07
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,scorpius,cpu,26.57,0.25
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,scorpius,nic,0.0,0.0
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,scorpius,ram,24.34,0.17
without-plugin,high,1,without-plugin_high_1,exp(05:24:30)_fase3_high_iter1,scorpius,sd,0.0,0.0
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,aspire,cpu,213.97,2.43
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,aspire,nic,0.97,0.01
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,aspire,ram,242.3,1.78
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,aspire,sd,119.23,0.83
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,leo,cpu,214.79,1.97
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,leo,nic,0.19,0.0
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,leo,ram,67.42,0.48
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,leo,sd,0.0,0.0
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,nitro5,cpu,37.2,0.34
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,nitro5,nic,0.17,0.0
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,nitro5,ram,23.04,0.16
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,nitro5,sd,9.83,0.07
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,scorpius,cpu,43.08,0.39
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,scorpius,nic,0.12,0.0
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,scorpius,ram,41.32,0.3
without-plugin,high,2,without-plugin_high_2,exp(05:32:12)_fase3_high_iter2,scorpius,sd,0.0,0.0
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,aspire,cpu,264.87,3.15
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,aspire,nic,0.05,0.0
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,aspire,ram,334.26,2.48
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,aspire,sd,269.27,1.86
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,leo,cpu,309.29,2.84
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,leo,nic,0.43,0.0
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,leo,ram,88.05,0.63
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,leo,sd,0.0,0.0
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,nitro5,cpu,36.66,0.34
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,nitro5,nic,0.22,0.0
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,nitro5,ram,22.91,0.16
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,nitro5,sd,8.18,0.06
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,scorpius,cpu,30.54,0.28
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,scorpius,nic,0.16,0.0
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,scorpius,ram,31.51,0.23
without-plugin,high,3,without-plugin_high_3,exp(05:38:35)_fase3_high_iter3,scorpius,sd,0.0,0.0
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,aspire,cpu,155.3,1.48
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,aspire,nic,0.05,0.01
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,aspire,ram,135.33,0.97
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,aspire,sd,6.61,0.05
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,leo,cpu,120.24,1.12
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,leo,nic,0.24,0.0
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,leo,ram,38.86,0.28
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,leo,sd,0.03,0.0
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,nitro5,cpu,40.32,0.37
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,nitro5,nic,1.4,0.01
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,nitro5,ram,21.72,0.15
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,nitro5,sd,11.12,0.08
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,scorpius,cpu,39.06,0.37
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,scorpius,nic,0.39,0.0
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,scorpius,ram,42.09,0.3
without-plugin,high,4,without-plugin_high_4,exp(08:21:36)_fase3_high_iter1,scorpius,sd,0.0,0.0
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,aspire,cpu,66.6,0.63
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,aspire,nic,0.0,0.0
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,aspire,ram,41.16,0.3
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,aspire,sd,2.48,0.02
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,leo,cpu,153.41,1.39
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,leo,nic,0.24,0.0
without-plugin,high,5,without-plugin_high_5,exp(08:37:20)_fase3_high_iter3,leo,ram,49.48,0.35
