group,intensity,exp_index,exp_id,exp_folder,node,component,total_energy_J,avg_power_W
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,nitro5,cpu,38.53,0.34
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,nitro5,nic,1.61,0.01
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,nitro5,ram,20.89,0.15
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,nitro5,sd,9.24,0.07
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,scorpius,cpu,99.26,1.0
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,scorpius,nic,0.77,0.01
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,scorpius,ram,109.15,0.81
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,scorpius,sd,0.0,0.0
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,aspire,cpu,173.08,1.77
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,aspire,nic,0.17,0.0
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,aspire,ram,150.27,1.12
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,aspire,sd,9.29,0.07
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,leo,cpu,71.2,0.68
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,leo,nic,0.83,0.01
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,leo,ram,21.08,0.16
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,leo,sd,0.0,0.0
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,nitro5,cpu,38.82,0.34
