group,intensity,exp_index,exp_id,exp_folder,total_energy_J,successful_tx,failed_tx,dropped_tx,avg_response_time,energy_per_tx,tx_per_joule,nodes_used
without-plugin,low,2,without-plugin_low_2,exp(01:33:05)_fase3_low_iter2,696.2,304,248,5388,2.549839,2.2901315789473684,0.4366561332950301,3
without-plugin,low,3,without-plugin_low_3,exp(01:57:40)_fase3_low_iter3,1113.23,258,1073,4609,3.677182,4.31484496124031,0.23175803742263504,3
without-plugin,low,4,without-plugin_low_4,exp(04:42:15)_fase3_low_iter1,1383.26,1584,73,4283,0.483797,0.873270202020202,1.1451209461706404,3
without-plugin,low,5,without-plugin_low_5,exp(04:49:08)_fase3_low_iter2,977.0999999999999,1543,22,4375,0.313364,0.633246921581335,1.5791628287790402,3
without-plugin,low,6,without-plugin_low_6,exp(04:55:44)_fase3_low_iter3,1790.1799999999998,1665,1,4274,0.246798,1.075183183183183,0.9300740707638339,3
without-plugin,low,7,without-plugin_low_7,exp(06:04:53)_fase3_low_iter4,1175.46,333,266,5341,1.599174,3.52990990990991,0.28329334898677966,3
without-plugin,low,8,without-plugin_low_8,exp(06:12:48)_fase3_low_iter5,958.86,446,7,5487,2.388926,2.149910313901345,0.4651356819556557,3
without-plugin,low,9,without-plugin_low_9,exp(07:03:35)_fase3_low_iter9,683.29,322,204,5414,6.351866,2.1220186335403723,0.47124939630318025,3
without-plugin,low,10,without-plugin_low_10,exp(21:20:45)_fase3_low_iter1,1019.61,224,976,4740,6.463737,4.551830357142857,0.21969184295956296,3
without-plugin,low,11,without-plugin_low_11,exp(21:29:09)_fase3_low_iter2,1020.38,250,614,5076,2.873616,4.08152,0.24500676218663636,3
without-plugin,low,12,without-plugin_low_12,exp(21:36:16)_fase3_low_iter3,1016.8999999999999,255,499,5186,4.665353,3.9878431372549015,0.25076212016914157,3
without-plugin,low,13,without-plugin_low_13,exp(21:47:29)_fase3_low_iter4,588.56,324,483,5133,1.716201,1.816543209876543,0.5504961261383716,3
without-plugin,low,14,without-plugin_low_14,exp(21:54:49)_fase3_low_iter5,1186.3700000000001,298,465,5177,2.79956,3.981107382550336,0.25118639210364385,3
without-plugin,low,15,without-plugin_low_15,exp(22:02:44)_fase3_low_iter6,1182.31,296,265,5379,6.119277,3.9942905405405402,0.2503573512868875,3
without-plugin,low,16,without-plugin_low_16,exp(22:11:14)_fase3_low_iter7,617.41,264,356,5320,2.373977,2.338674242424242,0.4275926855736059,3
without-plugin,low,17,without-plugin_low_17,exp(22:36:32)_fase3_low_iter8,303.66999999999996,333,537,5070,0.755084,0.9119219219219218,1.096585108835249,3
without-plugin,low,18,without-plugin_low_18,exp(22:54:05)_fase3_low_iter1,1093.45,1409,394,4137,0.721332,0.7760468417317247,1.2885820110658923,3
without-plugin,low,19,without-plugin_low_19,exp(23:14:18)_fase3_low_iter1,1309.8000000000002,4879,496,181967,0.34944,0.2684566509530642,3.724996182623301,3
without-plugin,low,20,without-plugin_low_20,exp(23:22:39)_fase3_low_iter2,935.0699999999999,4817,451,182074,0.354684,0.1941187461075358,5.15148598500647,3
without-plugin,low,21,without-plugin_low_21,exp(23:28:58)_fase3_low_iter3,536.67,4815,453,182074,0.354451,0.11145794392523363,8.971993962770417,3
without-plugin,medium,1,without-plugin_medium_1,exp(05:04:02)_fase3_medium_iter1,1031.48,3334,72,62994,0.180145,0.30938212357528494,3.2322488075386824,3
without-plugin,medium,2,without-plugin_medium_2,exp(05:10:17)_fase3_medium_iter2,664.03,3325,43,63032,0.201678,0.19970827067669172,5.007303886872581,3
without-plugin,medium,3,without-plugin_medium_3,exp(05:18:13)_fase3_medium_iter3,1762.6200000000001,3572,11,62817,0.536316,0.493454647256439,2.026528690245203,3
without-plugin,medium,4,without-plugin_medium_4,exp(06:20:25)_fase3_medium_iter1,1096.16,696,1883,63821,3.37598,1.5749425287356322,0.6349438038242592,3
without-plugin,medium,5,without-plugin_medium_5,exp(06:28:20)_fase3_medium_iter2,1783.11,1172,554,64674,6.714678,1.521424914675768,0.6572785750738878,3
without-plugin,medium,6,without-plugin_medium_6,exp(06:35:32)_fase3_medium_iter3,991.4200000000001,1049,482,64869,7.36029,0.9451096282173499,1.0580783119162414,3
without-plugin,medium,7,without-plugin_medium_7,exp(07:13:58)_fase3_medium_iter1,721.0299999999999,639,421,65340,6.229845,1.1283724569640061,0.8862321956090594,3
without-plugin,medium,8,without-plugin_medium_8,exp(07:22:01)_fase3_medium_iter2,1584.71,891,903,64606,7.639286,1.7785746352413019,0.5622479822806696,3
without-plugin,medium,9,without-plugin_medium_9,exp(07:28:48)_fase3_medium_iter3,780.7199999999999,677,934,64789,4.197892,1.1532053175775479,0.867148273388667,3
without-plugin,medium,10,without-plugin_medium_10,exp(07:36:27)_fase3_medium_iter4,1157.6399999999999,673,502,65225,5.00648,1.720118870728083,0.5813551708648631,3
without-plugin,medium,11,without-plugin_medium_11,exp(07:42:50)_fase3_medium_iter5,1471.77,850,318,65232,8.583762,1.7314941176470589,0.5775358921570626,3
without-plugin,medium,12,without-plugin_medium_12,exp(07:51:18)_fase3_medium_iter6,844.11,636,470,65294,6.424608,1.3272169811320755,0.75345630308846,3
without-plugin,medium,13,without-plugin_medium_13,exp(07:57:40)_fase3_medium_iter7,1470.2599999999998,883,298,65219,8.5226,1.6650736126840315,0.6005740481275421,3
without-plugin,medium,14,without-plugin_medium_14,exp(08:05:26)_fase3_medium_iter8,679.5699999999999,629,506,65265,6.596776,1.080397456279809,0.9255852965846051,3
without-plugin,medium,15,without-plugin_medium_15,exp(08:13:08)_fase3_medium_iter9,1525.17,846,979,64575,6.95072,1.8028014184397163,0.5546922638132142,3
without-plugin,medium,16,without-plugin_medium_16,exp(23:00:51)_fase3_medium_iter1,552.95,3007,676,62699,0.408318,0.1838875956102428,5.438104711095035,3
without-plugin,medium,17,without-plugin_medium_17,exp(23:36:51)_fase3_medium_iter1,877.62,4792,472,182096,0.544556,0.18314273789649416,5.46022196394795,3
without-plugin,medium,18,without-plugin_medium_18,exp(23:43:10)_fase3_medium_iter2,1722.73,5115,199,182046,0.48383,0.33679960899315736,2.969124587137857,3
