group,intensity,exp_index,exp_id,exp_folder,node,teastore_pods_total,teastore-webui,teastore-image,teastore-db,teastore-registry,teastore-auth,teastore-recommender,teastore-persistence,k8s_pods
without-plugin,high,6,without-plugin_high_6,exp(21:41:23)_fase3_high_iter1,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,high,6,without-plugin_high_6,exp(21:41:23)_fase3_high_iter1,scorpius,1,0,0,0,0,1,0,0,4
without-plugin,high,7,without-plugin_high_7,exp(21:47:43)_fase3_high_iter2,aspire,4,1,1,0,1,1,0,0,2
without-plugin,high,7,without-plugin_high_7,exp(21:47:43)_fase3_high_iter2,leo,2,0,0,1,0,0,0,1,3
without-plugin,high,7,without-plugin_high_7,exp(21:47:43)_fase3_high_iter2,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,7,without-plugin_high_7,exp(21:47:43)_fase3_high_iter2,scorpius,1,0,0,0,0,0,1,0,3
without-plugin,high,8,without-plugin_high_8,exp(21:58:26)_fase3_high_iter3,aspire,4,0,1,1,1,1,0,0,3
without-plugin,high,8,without-plugin_high_8,exp(21:58:26)_fase3_high_iter3,leo,2,1,0,0,0,0,0,1,2
without-plugin,high,8,without-plugin_high_8,exp(21:58:26)_fase3_high_iter3,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,high,8,without-plugin_high_8,exp(21:58:26)_fase3_high_iter3,scorpius,1,0,0,0,0,0,1,0,4
without-plugin,high,9,without-plugin_high_9,exp(22:06:21)_fase3_high_iter4,aspire,4,1,1,1,0,0,0,1,2
without-plugin,high,9,without-plugin_high_9,exp(22:06:21)_fase3_high_iter4,leo,2,0,0,0,1,1,0,0,3
without-plugin,high,9,without-plugin_high_9,exp(22:06:21)_fase3_high_iter4,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,9,without-plugin_high_9,exp(22:06:21)_fase3_high_iter4,scorpius,1,0,0,0,0,0,1,0,3
without-plugin,high,10,without-plugin_high_10,exp(22:14:20)_fase3_high_iter5,aspire,4,1,1,1,1,0,0,0,3
without-plugin,high,10,without-plugin_high_10,exp(22:14:20)_fase3_high_iter5,leo,2,0,0,0,0,0,1,1,2
without-plugin,high,10,without-plugin_high_10,exp(22:14:20)_fase3_high_iter5,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,high,10,without-plugin_high_10,exp(22:14:20)_fase3_high_iter5,scorpius,1,0,0,0,0,1,0,0,4
without-plugin,high,11,without-plugin_high_11,exp(22:20:55)_fase3_high_iter6,aspire,4,0,1,0,1,0,1,1,2
without-plugin,high,11,without-plugin_high_11,exp(22:20:55)_fase3_high_iter6,leo,2,0,0,1,0,1,0,0,3
without-plugin,high,11,without-plugin_high_11,exp(22:20:55)_fase3_high_iter6,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,11,without-plugin_high_11,exp(22:20:55)_fase3_high_iter6,scorpius,1,1,0,0,0,0,0,0,3
without-plugin,high,12,without-plugin_high_12,exp(22:29:57)_fase3_high_iter7,aspire,4,1,0,1,1,1,0,0,3
without-plugin,high,12,without-plugin_high_12,exp(22:29:57)_fase3_high_iter7,leo,2,0,0,0,0,0,1,1,2
without-plugin,high,12,without-plugin_high_12,exp(22:29:57)_fase3_high_iter7,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,high,12,without-plugin_high_12,exp(22:29:57)_fase3_high_iter7,scorpius,1,0,1,0,0,0,0,0,4
without-plugin,high,13,without-plugin_high_13,exp(22:56:08)_fase3_high_iter8,aspire,2,0,1,0,0,0,1,0,2
without-plugin,high,13,without-plugin_high_13,exp(22:56:08)_fase3_high_iter8,leo,3,1,0,0,0,1,0,1,3
without-plugin,high,13,without-plugin_high_13,exp(22:56:08)_fase3_high_iter8,nitro5,0,0,0,0,0,0,0,0,7
without-plugin,high,13,without-plugin_high_13,exp(22:56:08)_fase3_high_iter8,scorpius,2,0,0,1,1,0,0,0,3
without-plugin,high,14,without-plugin_high_14,exp(23:07:07)_fase3_high_iter1,aspire,3,1,0,0,1,1,0,0,4
without-plugin,high,14,without-plugin_high_14,exp(23:07:07)_fase3_high_iter1,leo,2,0,0,0,0,0,1,1,2
without-plugin,high,14,without-plugin_high_14,exp(23:07:07)_fase3_high_iter1,nitro5,0,0,0,0,0,0,0,0,6
without-plugin,high,14,without-plugin_high_14,exp(23:07:07)_fase3_high_iter1,scorpius,2,0,1,1,0,0,0,0,3
