Iteracion,Fecha,Namespace,Pod,Nodo
12,2026-01-16 01:40:40,default,teastore-auth-84d7ccddd9-rltp9,leo02
12,2026-01-16 01:40:40,default,teastore-db-84f96b9dd8-m8qxp,luish-aspire-a315-55g
12,2026-01-16 01:40:40,default,teastore-image-79674648d-rrcjv,scorpius03
12,2026-01-16 01:40:40,default,teastore-persistence-784748b4b9-pg9dq,leo02
12,2026-01-16 01:40:40,default,teastore-recommender-74559c88-vl4p9,luish-nitro-an515-57
12,2026-01-16 01:40:40,default,teastore-registry-676858f7cd-vqcst,leo02
12,2026-01-16 01:40:40,default,teastore-webui-558b54cc77-t5hxs,leo02
13,2026-01-16 01:40:48,default,teastore-auth-84d7ccddd9-rltp9,leo02
13,2026-01-16 01:40:48,default,teastore-db-84f96b9dd8-m8qxp,luish-aspire-a315-55g
13,2026-01-16 01:40:48,default,teastore-image-79674648d-rrcjv,scorpius03
13,2026-01-16 01:40:48,default,teastore-persistence-784748b4b9-ptd5s,scorpius03
13,2026-01-16 01:40:48,default,teastore-recommender-74559c88-nwzxq,luish-aspire-a315-55g
13,2026-01-16 01:40:48,default,teastore-registry-676858f7cd-p5t2f,luish-nitro-an515-57
13,2026-01-16 01:40:48,default,teastore-webui-558b54cc77-t5hxs,leo02
14,2026-01-16 01:40:57,default,teastore-auth-84d7ccddd9-th286,luish-nitro-an515-57
14,2026-01-16 01:40:57,default,teastore-db-84f96b9dd8-m8qxp,luish-aspire-a315-55g
14,2026-01-16 01:40:57,default,teastore-image-79674648d-rrcjv,scorpius03
14,2026-01-16 01:40:57,default,teastore-persistence-784748b4b9-ptd5s,scorpius03
14,2026-01-16 01:40:57,default,teastore-recommender-74559c88-s57x7,luish-nitro-an515-57
14,2026-01-16 01:40:57,default,teastore-registry-676858f7cd-p5t2f,luish-nitro-an515-57
14,2026-01-16 01:40:57,default,teastore-webui-558b54cc77-t5hxs,leo02
15,2026-01-16 01:41:06,default,teastore-auth-84d7ccddd9-th286,luish-nitro-an515-57
15,2026-01-16 01:41:06,default,teastore-db-84f96b9dd8-nfszz,luish-aspire-a315-55g
15,2026-01-16 01:41:06,default,teastore-image-79674648d-w9p7c,luish-aspire-a315-55g
